"token ID";"tokens";"POStags";"lemmas";"namedEntities"
"t28967";".";"$.";".";""
"t28968";"Der";"ART";"d";""
"t28969";"Richter";"NE";"Richter";"B-PER"
"t28970";"Obadiah";"NE";"<unknown>";"B-PER"
"t28971";"kam";"VVFIN";"kommen";""
"t28972";"alsbald";"ADV";"alsbald";""
"t28973";"in";"APPR";"in";""
"t28974";"Begleitung";"NN";"Begleitung";""
"t28975";"des";"ART";"d";""
"t28976";"Gerichtsschreibers";"NN";"<unknown>";""
"t28977";".";"$.";".";""
"t28978";"Es";"PPER";"es";""
"t28979";"war";"VAFIN";"sein";""
"t28980";"ein";"ART";"ein";""
"t28981";"dicker";"ADJA";"dick";""
"t28982";",";"$,";",";""
"t28983";"wohlbeleibter";"ADJA";"wohlbeleibter";""
"t28984";"Mann";"NN";"Mann";""
"t28985";".";"$.";".";""
"t28986";"Er";"PPER";"er";""
"t28987";"holte";"VVFIN";"holen";""
"t28988";"eine";"ART";"ein";""
"t28989";"Perücke";"NN";"Perücke";""
"t28990";",";"$,";",";""
"t28991";"die";"PRELS";"d";""
"t28992";"an";"APPR";"an";""
"t28993";"einem";"ART";"ein";""
"t28994";"Nagel";"NN";"Nagel";""
"t28995";"hing";"VVFIN";"hängen";""
"t28996";",";"$,";",";""
"t28997";"und";"KON";"und";""
"t28998";"setzte";"VVFIN";"setzen";""
"t28999";"sie";"PPER";"sie";""
"t29000";"rasch";"ADJD";"rasch";""
"t29001";"auf";"PTKVZ";"auf";""
"t29002";".";"$.";".";""
"t29003";"»";"$(";"»";""
"t29004";"Die";"ART";"d";""
"t29005";"erste";"ADJA";"erst";""
"t29006";"Sache";"NN";"Sache";""
"t29007";"«";"$(";"«";""
"t29008";",";"$,";",";""
"t29009";"sprach";"VVFIN";"sprechen";""
"t29010";"er";"PPER";"er";""
"t29011";".";"$.";".";""
"t29012";"Dann";"ADV";"dann";""
"t29013";"aber";"ADV";"aber";""
"t29014";",";"$,";",";""
"t29015";"die";"ART";"d";""
"t29016";"Hand";"NN";"Hand";""
"t29017";"am";"APPRART";"am";""
"t29018";"Kopfe";"NN";"Kopf";""
"t29019";":";"$.";":";""
"t29020";"»";"$(";"»";""
"t29021";"Nun";"ADV";"nun";""
"t29022";"!";"$.";"!";""
"t29023";"Das";"PDS";"d";""
"t29024";"ist";"VAFIN";"sein";""
"t29025";"ja";"ADV";"ja";""
"t29026";"nicht";"PTKNEG";"nicht";""
"t29027";"meine";"PPOSAT";"mein";""
"t29028";"Perücke";"NN";"Perücke";""
"t29029";"!";"$.";"!";""
"t29030";"«";"$(";"«";""
"t29031";"»";"$(";"»";""
"t29032";"Wirklich";"NN";"<unknown>";""
"t29033";",";"$,";",";""
"t29034";"Herr";"NN";"Herr";""
"t29035";"Obadiah";"NE";"<unknown>";"B-PER"
"t29036";",";"$,";",";""
"t29037";"es";"PPER";"es";""
"t29038";"ist";"VAFIN";"sein";""
"t29039";"die";"ART";"d";""
"t29040";"meinige";"PPOSS";"meinig";""
"t29041";"«";"$(";"«";""
"t29042";",";"$,";",";""
"t29043";"erwiderte";"VVFIN";"erwidern";""
"t29044";"der";"ART";"d";""
"t29045";"Gerichtsschreiber";"NN";"Gerichtsschreiber";""
"t29046";".";"$.";".";""
"t29047";"»";"$(";"»";""
"t29048";"Lieber";"ADJA";"lieb";"B-OTH"
"t29049";"Oysterpuff";"NN";"<unknown>";"I-OTH"
"t29050";",";"$,";",";""
"t29051";"wie";"KOUS";"wie";""
"t29052";"kann";"VMFIN";"können";""
"t29053";"ein";"ART";"ein";""
"t29054";"Richter";"NN";"Richter";""
"t29055";"ein";"ART";"ein";""
"t29056";"richtiges";"ADJA";"richtig";""
"t29057";"Urteil";"NN";"Urteil";""
"t29058";"fällen";"VVFIN";"fällen";""
"t29059";"unter";"APPR";"unter";""
"t29060";"des";"ART";"d";""
"t29061";"Gerichtsschreibers";"NN";"<unknown>";""
"t29062";"Perücke";"NN";"Perücke";""
"t29063";"!";"$.";"!";""
